phi1,dm_interp
-3.700000047683716,16.662281036376953
-3.6500000953674316,16.664043426513672
-3.5999999046325684,16.665807723999023
-3.549999952316284,16.667570114135742
-3.5,16.66933250427246
-3.450000047683716,16.671096801757812
-3.4000000953674316,16.67285919189453
-3.3499999046325684,16.67462158203125
-3.299999952316284,16.6763858795166
-3.25,16.67814826965332
-3.200000047683716,16.67991065979004
-3.1500000953674316,16.681673049926758
-3.0999999046325684,16.68343734741211
-3.049999952316284,16.685199737548828
-3.0,16.686962127685547
-2.950000047683716,16.68741226196289
-2.9000000953674316,16.6878604888916
-2.8499999046325684,16.688310623168945
-2.799999952316284,16.688758850097656
-2.75,16.689208984375
-2.700000047683716,16.68965721130371
-2.6500000953674316,16.690107345581055
-2.5999999046325684,16.690555572509766
-2.549999952316284,16.69100570678711
-2.5,16.69145393371582
-2.450000047683716,16.691904067993164
